01262,42.301,-73.3223,Stockbridge,MA
01263,42.3929,-73.2285,Stockbridge,MA
01264,42.22,-73.1979,Tyringham,MA
01266,42.3348,-73.3825,West Stockbridge,MA
01267,42.7089,-73.2036,Williamstown,MA
01270,42.515,-73.0412,Windsor,MA
01301,42.6013,-72.6236,Greenfield,MA
01302,42.5222,-72.6242,Greenfield,MA
01330,42.5232,-72.811,Ashfield,MA
01331,42.5959,-72.2267,Athol,MA
01337,42.6952,-72.5772,Bernardston,MA
01338,42.5736,-72.8213,Buckland,MA
01339,42.608,-72.8901,Charlemont,MA
01340,42.679,-72.7265,Colrain,MA
01341,42.5138,-72.7025,Conway,MA
01342,42.5406,-72.6072,Deerfield,MA
01343,42.6427,-72.9862,Drury,MA
01344,42.6076,-72.4292,Erving,MA
01346,42.6853,-72.8391,Heath,MA
01347,42.5566,-72.5181,Lake Pleasant,MA
01349,42.582,-72.4926,Millers Falls,MA
01350,42.7215,-72.9762,Monroe Bridge,MA
01351,42.5429,-72.5328,Montague,MA
01354,42.6404,-72.4995,Gill,MA
01355,42.5146,-72.3062,New Salem,MA
01360,42.6887,-72.451,Northfield,MA
01364,42.6129,-72.2924,Orange,MA
01366,42.4898,-72.1893,Petersham,MA
01367,42.6953,-72.9258,Rowe,MA
01368,42.6722,-72.1964,Royalston,MA
01370,42.6022,-72.7391,Shelburne Falls,MA
01373,42.4756,-72.6153,South Deerfield,MA
01375,42.4539,-72.5676,Sunderland,MA
01376,42.5954,-72.5557,Turners Falls,MA
01378,42.6671,-72.3397,Warwick,MA
01379,42.5656,-72.4009,Wendell,MA
01380,42.5534,-72.3927,Wendell Depot,MA
01420,42.5796,-71.8031,Fitchburg,MA
01430,42.6496,-71.9267,Ashburnham,MA
01431,42.6745,-71.8174,Ashby,MA
01432,42.5591,-71.5788,Ayer,MA
01434,42.5385,-71.6115,Devens,MA
01436,42.5936,-72.0646,Baldwinville,MA
01438,42.5631,-72.037,East Templeton,MA
01440,42.574,-71.9898,Gardner,MA
01441,42.5459,-71.9106,Westminster,MA
01450,42.6124,-71.5584,Groton,MA
01451,42.4986,-71.5753,Harvard,MA
01452,42.4865,-72.0012,Hubbardston,MA
01453,42.5274,-71.7563,Leominster,MA
01460,42.5401,-71.4877,Littleton,MA
01462,42.5884,-71.7266,Lunenburg,MA
01463,42.6689,-71.5934,Pepperell,MA
01464,42.5734,-71.6483,Shirley,MA
01467,42.4871,-71.6131,Still River,MA
01468,42.546,-72.065,Templeton,MA
01469,42.6525,-71.6896,Townsend,MA
01470,42.6112,-71.5745,Groton,MA
01471,42.6112,-71.5745,Groton,MA
01472,42.6043,-71.6273,West Groton,MA
01473,42.5483,-71.9096,Westminster,MA
01474,42.6678,-71.7522,West Townsend,MA
01475,42.6789,-72.0475,Winchendon,MA
01501,42.2055,-71.8391,Auburn,MA
01503,42.3844,-71.6356,Berlin,MA
01504,42.0287,-71.5269,Blackstone,MA
01505,42.3377,-71.731,Boylston,MA
01506,42.1991,-72.0989,Brookfield,MA
01507,42.1379,-71.9664,Charlton,MA
01508,42.1459,-71.9884,Charlton City,MA
01509,42.1731,-71.9787,Charlton Depot,MA
01510,42.4181,-71.6828,Clinton,MA
01515,42.2193,-72.0481,East Brookfield,MA
01516,42.0528,-71.7509,Douglas,MA
01518,42.1228,-72.1178,Fiskdale,MA
01519,42.2004,-71.6868,Grafton,MA
01520,42.342,-71.8414,Holden,MA
